书名,个人评分,打分日期,我的短评,出版日期,作者,条目链接
"别闹了，费曼先生","","2026/04/07","","1997/12","[美] 理查德·费曼","https://book.douban.com/subject/1037602/"
"趣学算法","2","2026/04/07","为了通俗添加了太多废话，实际的内容却做不到深入浅出。","2017/7/1","陈小玉","https://book.douban.com/subject/27109832/"
"毛毛","5","2025/09/07","","2006/12","米切尔·恩德","https://book.douban.com/subject/1965464/"
"阅读是一座随身携带的避难所","1","2025/09/07","无聊而肤浅的八卦书…","2020/7","[英] 威廉·萨默塞特·毛姆","https://book.douban.com/subject/35140008/"
"雅思写作真经","3","2025/07/30","","2007/11","刘洪波","https://book.douban.com/subject/2984794/"
"GitHub入门与实践","2","2025/07/24","过于入门…","2015/7","[日] 大塚弘记","https://book.douban.com/subject/26462816/"
"契诃夫小说选","","2025/07/23","","2020/4","[俄] 契诃夫","https://book.douban.com/subject/34894615/"
"蒙马特遗书","","2025/07/23","补标","2021/7","邱妙津","https://book.douban.com/subject/35512888/"
"游戏设计快乐之道","3","2025/07/03","翻译很糟，虽然现在来看有点年代感但仍然有一定启发性。每次读这种游戏设计类型的书总会感觉其中很多想法很有共鸣，但到了真的想动手做点什么的时候又觉得自己一无所知了。","2015/10/1","科斯特 (Raph Koster)","https://book.douban.com/subject/27103933/"
"摄影师之眼","5","2025/03/25","","2012/6","[美] 约翰·萨考斯基","https://book.douban.com/subject/10759174/"
"Reader's Digest Complete Photography Manual","","2025/03/16","","October 23, 2000","Ailsa McWhinnie","https://book.douban.com/subject/3323647/"
"往复书简：初恋与不伦","4","2025/02/20","“所有的河都连在一起，你流进我，我流进你。”感谢好友赠书，而我居然时隔几年才发现封底夹着的来自北京的银杏叶。","2020/8","[日] 坂元裕二","https://book.douban.com/subject/34949694/"
"我妈笑了","5","2025/01/25","","2024/4","香特尔·阿克曼","https://book.douban.com/subject/36762055/"
"地下室手记","5","2025/01/05","其实读得痛苦，但又毫无办法地感觉到强烈的意识与极大的乐趣，字字句句都是狰狞扭曲的我自己。这本书以后还要一读再读。

“然而我还是深信，一个人绝不会拒绝真正的苦难，即绝不会拒绝破坏和混乱。痛苦——要知道，这是产生意识的唯一原因。起初我虽然说过，在我看来，意识乃是人的最大不幸，但是我也知道，人喜欢意识，绝不会用它来交换任何满足。”","2019/10/1","[俄] 陀思妥耶夫斯基","https://book.douban.com/subject/34826113/"
"达洛维夫人","5","2024/12/31","","2021/3","[英国] 弗吉尼亚·伍尔夫","https://book.douban.com/subject/35371802/"
"世界大笨蛋反叛手册（修订插图版）","","2024/12/20","“所谓笨蛋中心这样的所在，只要一经建成，便已经成功了。”所谓笨蛋反派手册这样的书，只要写成想必也算是一种成功吧！总之看得我！！满头都是叹号！！！","2018/2","松本哉","https://book.douban.com/subject/30152244/"
"欧美文学","5","2024/12/20","@2022-08-23 01:54:56","2009/8","王志耕","https://book.douban.com/subject/4260203/"
"查理九世1·黑贝街的亡灵","","2024/12/03","","2011/1","雷欧幻像","https://book.douban.com/subject/5912701/"
"查理九世2·恐怖的巫女面具","","2024/12/03","","2011/1","雷欧幻像","https://book.douban.com/subject/5912705/"
"查理九世7·青铜棺的葬礼","","2024/12/03","","2011/5","雷欧幻像","https://book.douban.com/subject/6390600/"
"查理九世5·恶魔医务室","","2024/12/03","","2011/5","雷欧幻像","https://book.douban.com/subject/6390599/"
"查理九世8·白骨森林","","2024/12/03","这本印象深刻","2011/5","雷欧幻像","https://book.douban.com/subject/6390602/"
"查理九世6·吸血鬼公墓","","2024/12/03","","2011/5","雷欧幻像","https://book.douban.com/subject/6390601/"
"查理九世19·厄运水晶头骨","","2024/12/03","","2013/5","雷欧幻像","https://book.douban.com/subject/24371376/"
"查理九世3·恶灵栖息的乌鸦城","","2024/12/03","印象深刻！","2011/1","雷欧幻像","https://book.douban.com/subject/5912709/"
"沉默的大多数","","2024/11/16","","2017/4","王小波","https://book.douban.com/subject/27013716/"
"皮皮鲁和红鼻子火车","","2024/11/03","","2007/03/01","郑渊洁","https://book.douban.com/subject/2044891/"
"荒诞联盟","","2024/10/17","","2022/9/15","[美] 约翰·肯尼迪·图尔","https://book.douban.com/subject/36093215/"
"孽子","4","2024/10/16","龙子和阿凤的感情总让我想起《牯岭街少年杀人事件》，于是忍不住一直边看边想小四在那之后会过怎样的生活——如果他还可以有之后的话。","2010/10","白先勇","https://book.douban.com/subject/5337254/"
"梦中的欢快葬礼和十二个异乡故事","5","2024/10/12","","2015/5/1","[哥伦比亚] 加西亚·马尔克斯","https://book.douban.com/subject/26276924/"
"素食者","4","2024/10/12","「姐……世上所有的樹都跟手足一樣。」","2023/5/8","韓江","https://book.douban.com/subject/36381779/"
"同聲同氣","3","2024/09/28","视角很好，有些故事蛮有意思，但这个论文真的是完整的吗？","2024/4","鄧芝珊","https://book.douban.com/subject/36846225/"
"达·芬奇密码","4","2024/09/27","","2004/2","[美] 丹·布朗","https://book.douban.com/subject/1040771/"
"曹雪芹的家族印記","","2024/09/24","大致看完了第一章","2022/5/9","黃一農","https://book.douban.com/subject/35897525/"
"红楼梦魇","","2024/09/24","大致读完，感觉只有反复读过各个版本红楼梦的人才能流畅阅读并会意。张爱玲的考据不仅也严谨广博，且不少地方都用创作者的思维评判，感觉比其他一些无聊的考据要有趣一些，不过感觉好零碎。","2019/8","张爱玲","https://book.douban.com/subject/33379245/"
"倾城之恋","5","2024/09/23","","2019/3","张爱玲","https://book.douban.com/subject/30294357/"
"隐谷路","5","2024/09/12","既是精神分裂症家族几十年内的家族史，也是漫长的伴随社会科技不断变化的精神分裂症治疗与研究史：从弗洛伊德的精神分析到五六十年代缺乏证据地责怪母亲导致精神疾病，再到《飞越疯人院》中成为一种权力与规训隐喻的精神病和对疾病本身的忽视，直到近几十年通过家族基因分析获得相对有突破的结果，但是“治疗一直都和疾病本身一样摧残健康”。
行文细致流畅，致谢表里密密麻麻的没有直接在正文中出现的被采访者令人感慨作者的严谨，读罢我只有震撼和感慨。顺带一提，总觉得好像国外很多作品中宗教总是与精神异常和性侵有关，还经常成为恐怖题材，感觉也是很有趣的议题🤔（虽然我对此基本毫无了解）。","2021/10","[美]罗伯特·科尔克","https://book.douban.com/subject/35599712/"
"南京大屠杀","5","2024/09/12","不忍看。记得高中自习课上读被老师没收，结果语文老师在讲台上也很认真地读起来了，之后还和我讨论了内容。","2015/8","[美]张纯如（Iris Chang）","https://book.douban.com/subject/26545308/"
"我的人生中经历过四次火灾","5","2024/09/11","","2024/3","异教陶瓷","https://book.douban.com/subject/36882781/"
"审判","5","2024/09/11","补标","2018/6","[奥地利]卡夫卡","https://book.douban.com/subject/30415637/"
"外婆的道歉信","","2024/09/11","补标","2017/5","[瑞典] 弗雷德里克·巴克曼","https://book.douban.com/subject/27029890/"
