游戏名称,个人评分,打分日期,我的短评,发行日期,条目链接
"谜之村雨城 谜の村雨城/Nazo no Murasame Jou","","2026/02/21","","1986-04-14","https://www.douban.com/game/35361111/"
"镇民纪 Townsfolk","4","2026/02/20","","2025-04-02","https://www.douban.com/game/37938466/"
"Nintendo Switch 运动 Nintendo Switch Sports","4","2026/02/20","","2022-04-29","https://www.douban.com/game/35764203/"
"混音盒 incredibox","4","2026/02/19","爽","2016-06-05","https://www.douban.com/game/35301051/"
"HackHub: Free Trial","","2025/11/01","比预料中好的（又一个）黑客模拟器游戏","2024-11-04","https://www.douban.com/game/37816486/"
"小小书店 Tiny Bookshop","5","2025/08/20","首发bug略多，特别是翻译有很多问题。不过好在开发者修改和debug很及时，截至目前选品也已经有所改善。难得出现一款前中期可玩性还不错的温馨、慢叙事风格的书店经营和书籍推荐类型游戏，五星鼓励！","2025-08-07","https://www.douban.com/game/36438629/"
"Little Chef","","2025/07/30","可爱的排列组合做饭小游戏","2023-01-01","https://www.douban.com/game/37061599/"
"面容采集者 Faceminer","2","2025/07/11","套了一堆壳的纯点击类游戏，在游戏性和叙事上都相对失败。","2025-02-28","https://www.douban.com/game/37410050/"
"黄金像谜案：兰卡之蛛 Golden Idol Mysteries: The Spider of Lanka","4","2025/07/04","补标。比本体更难，狂练英语完型系列…","2023-05-05","https://www.douban.com/game/36751894/"
"黄金像谜案：雷姆利亚吸血鬼 Golden Idol Mysteries: The Lemurian Vampire","4","2025/07/04","","2023-08-31","https://www.douban.com/game/36751895/"
"塞尔达传说 旷野之息 ゼルダの伝説 ブレス オブ ザ ワイルド","5","2025/07/03","神","2017-03-03","https://www.douban.com/game/26817171/"
"异域镇魂曲：增强版 Planescape: Torment: Enhanced Edition","5","2025/07/03","","2017-04-11","https://www.douban.com/game/27007011/"
"史丹利的寓言：终级豪华版 The Stanley Parable: Ultra Deluxe","5","2025/07/03","玩完了但是不舍得写评价，也感觉可能会写不好，码住之后认真写。@2024-7-25","2022-04-27","https://www.douban.com/game/34907065/"
"堆叠世界 Stacklands","4","2025/07/03","感觉这个工作室的多数游戏都是同一个机制的变体，因此虽然画风可爱但难免觉得新意有限。另一个问题有点太上头了一点开就根本停不下来……","2022-04-09","https://www.douban.com/game/35884077/"
