电影/电视剧/番组,个人评分,打分日期,我的短评,上映日期,制片国家,条目链接
"局外人 / L'Étranger","2","2026/04/11","黑白影调或许有其特色，但对于局外人来说，却难以展现出原著中灼人的阳光；观影时我一直在灰色的天和海里试图幻想出一点蓝色，因为总觉得那才是我阅读时的印象，而（应该过曝的）鲜明的颜色也本应和Meursault内心形成一种反衬。整体来说是相当平庸的改编，太过平铺直叙，偶尔摘录原句点缀一下，空洞而平淡的无意义感胜过压抑的焦虑感，完全无法达到原著的深度与情感张力。","2025/09/02","威尼斯电影节","https://movie.douban.com/subject/37284351/"
"我自己的爱达荷 / My Own Private Idaho","5","2026/04/04","","","","https://movie.douban.com/subject/1292792/"
"总统的蛋糕 / مملكة القصب","4","2026/02/18","荒诞、讽刺与温情交织，多打一分给自由表达的勇气。","2025/05/16","戛纳电影节","https://movie.douban.com/subject/36486147/"
"普通事故 / یک تصادف ساده","5","2026/02/18","补标，开年第一部，和z一起看于ICA。帕纳西以公路片的形式展开一部荒诞而讽刺、尴尬却尖锐、残酷但依旧黑色幽默的一次复仇大戏。调度和叙事都工稳漂亮，主题则是贯穿始终的道德拷问：被暴力机器碾压而过的个人出走后怎样。崩坏的社会里，愤怒的善良的人连复仇都注定无力。车灯一打，才觉出每个人都命如草芥，或如车轮下那个小生灵。","2025/05/20","戛纳电影节","https://movie.douban.com/subject/37247238/"
"神烦警探 第八季 / Brooklyn Nine-Nine Season 8","5","2026/02/06","so long, 99","2021/08/12","美国","https://movie.douban.com/subject/34889374/"
"神烦警探 第六季 / Brooklyn Nine-Nine Season 6","5","2026/02/03","","2019/01/10","美国","https://movie.douban.com/subject/30222864/"
"电影史话 / The Story of Film: An Odyssey","5","2026/02/03","","2011/09/03","英国","https://movie.douban.com/subject/6793337/"
"神烦警探 第七季 / Brooklyn Nine-Nine Season 7","5","2026/02/02","","2020/02/06","美国","https://movie.douban.com/subject/30475705/"
"神烦警探 第五季 / Brooklyn Nine-Nine Season 5","5","2026/01/31","","2017/09/26","美国","https://movie.douban.com/subject/27042749/"
"神烦警探 第四季 / Brooklyn Nine-Nine Season 4","","2026/01/28","","2016/09/20","美国","https://movie.douban.com/subject/26757856/"
"逃走 / 逃走、貫徹！","","2026/01/23","隐匿、逃离、抗争，理念纯粹但自我无限挣扎。很特别也很有意思的电影。@ ICA","2025/03/15","日本","https://movie.douban.com/subject/36948644/"
"神烦警探 第三季 / Brooklyn Nine-Nine Season 3","","2026/01/23","","2015/09/27","美国","https://movie.douban.com/subject/26306794/"
"神烦警探 第二季 / Brooklyn Nine-Nine Season 2","","2026/01/19","","2014/09/28","美国","https://movie.douban.com/subject/25843290/"
"神烦警探 第一季 / Brooklyn Nine-Nine Season 1","4","2026/01/15","","2013/09/17","美国","https://movie.douban.com/subject/24532463/"
"怪奇物语 第三季 / Stranger Things Season 3","3","2026/01/08","节奏突然放慢，已经总结出全剧主打分头行动信息差+精美转场+可预测jump scare，和z一起同之前一样又急又略无语地看完。(1 有用)","2019/07/04","美国","https://movie.douban.com/subject/27119156/"
"怪奇物语 第二季 / Stranger Things Season 2","","2026/01/04","关掉灯两人缩在被子里看完(1 有用)","2017/10/27","美国","https://movie.douban.com/subject/26844438/"
"狼行者 / Wolfwalkers","4","2025/12/28","喜欢美术和音乐","2020/09/12","多伦多电影节","https://movie.douban.com/subject/26694926/"
"查理·布朗，圣诞节又到了 / It's Christmastime Again, Charlie B...","5","2025/12/28","","","","https://movie.douban.com/subject/4091371/"
"昨日青春 / Happyend","3","2025/12/26","补标，对于一部电影来说议题塞得有些太满，但又是再真实不过的复杂的青春。@ ICA","2024/09/02","威尼斯电影节","https://movie.douban.com/subject/36960439/"
"死亡诗社 / Dead Poets Society","4","2025/12/26","如果是几年前看，是我大概会打五星的电影(1 有用)","1989/06/02","多伦多首映","https://movie.douban.com/subject/1291548/"
"疯狂动物城2 / Zootopia 2","3","2025/12/17","合格续作，可是再也没有第一部的那种惊喜感。情节经典到看到中途就可以猜完结尾的地步，但对迪士尼合家欢电影本来也没有更额外的期待。不过我还是挺喜欢里面的诸多关于不同动物习性小巧思小细节和各种致敬！ @ vue","2025/11/26","美国/中国大陆","https://movie.douban.com/subject/26817136/"
"野棕榈 / The Wild Palms","3","2025/11/26","World premiere @ ICA","2025/11/25","英国","https://movie.douban.com/subject/37806615/"
"摩登家庭 第十一季 / Modern Family Season 11","","2025/11/12","","2019/09/25","美国","https://movie.douban.com/subject/30454227/"
"摩登家庭 第四季 / Modern Family Season 4","","2025/11/12","","2012/09/26","美国","https://movie.douban.com/subject/10748074/"
"摩登家庭 第十季 / Modern Family Season 10","","2025/11/12","","2018/09/26","美国","https://movie.douban.com/subject/27041245/"
"这是南瓜大王哦！ 查理·布朗！ / It's the Great Pumpkin, Charli...","5","2025/11/01","","","","https://movie.douban.com/subject/2255554/"
"发展受阻 第二季 / Arrested Development Season 2","","2025/10/27","","2004/11/07","美国","https://movie.douban.com/subject/4995723/"
"发展受阻 第三季 / Arrested Development Season 3","","2025/10/27","此剧已经莫名其妙沉迷骨科无法自拔(2 有用)","","","https://movie.douban.com/subject/5414629/"
"传奇字体 / Helvetica","4","2025/10/27","There's a very thin line between simple and clean and powerful, and simple and clean and boring.","","","https://movie.douban.com/subject/1937190/"
"发展受阻 第一季 / Arrested Development Season 1","4","2025/10/19","","","","https://movie.douban.com/subject/1472988/"
"新浪潮 / Nouvelle Vague","3","2025/10/19","写给新浪潮电影的又又又一封情书，报菜名影迷大概会喜欢。电影内容的有趣主要来自熟悉的影史人物和电影，伪记录导演电影的过程本应具备解构性，却仅仅止步于各种意义上的迷恋，因此除了选角神似、形式复古和顺利讲完故事以外并无任何可说之处。不禁觉得影片结尾《精疲力尽》的成功只是再次反衬本作全方位的平庸。#LFF","2025/05/17","戛纳国际电影节","https://movie.douban.com/subject/36742578/"
"朝圣 / Romería","4","2025/10/11","无限着迷于电影中的空镜：细碎的光线和Galicia美丽的海。摄影，游泳，聚餐，跳舞，私人叙事和复杂的家庭关系探索。不同时空在日记与影像之间穿梭、交织，讲述被藏起来的父辈的故事。我喜欢长久地注视海。 #LFF","2025/05/21","戛纳电影节","https://movie.douban.com/subject/36575268/"
"我的城市 / Saute ma ville","","2025/10/11","炸掉我的城市","","","https://movie.douban.com/subject/3565920/"
"街头顽童 / Urchin","4","2025/10/09","在伦敦看的第一部电影，屏幕亮起满眼还是熟悉的街道和建筑，于是格外有沉浸感（打架场景甚至是在UCL East门口，感觉是故意设置了这个对比）。顽童般的、蜷缩成婴儿的、怀着天性里带来的一点真和一点恶的人与现实和自身的浊流对抗，以期寻找某种救赎。茫然地幽默，沉重地轻盈，成瘾性物质反而无关超现实。在伦敦，印象最深刻的陌生人恰好正是传教者和流浪汉。@ICA","2025/05/17","戛纳电影节","https://movie.douban.com/subject/36879454/"
"黄色潜水艇 / Yellow Submarine","","2025/09/24","在飞机上看完","1968/07/17","英国","https://movie.douban.com/subject/1305605/"
"史努比特辑：夏日音乐剧 / Snoopy Presents: A Summer Musical","5","2025/09/02","But we’re gonna leave it, better than we found it :)","2025/08/15","美国网络","https://movie.douban.com/subject/37364854/"
"查理布朗的圣诞节 / A Charlie Brown Christmas","5","2025/07/30","","","","https://movie.douban.com/subject/1439773/"
"瑞克和莫蒂 第八季 / Rick and Morty Season 8","5","2025/07/22","更温情的一季：荒凉的自由，温馨的不自由。Don't look back.","2025/05/25","美国","https://movie.douban.com/subject/36508122/"
"剑指高分 / High Score","5","2025/07/14","非常好的电子游戏发展史纪录片，大佬云集且节奏特别好，喜欢片头片尾和中间的像素小动画，以及感动于从业者对游戏的热爱和一次次创新的勇气。可惜内容只包括比较早期的发展史，希望以后可以接着制作续集！","2020/08/19","美国","https://movie.douban.com/subject/35162178/"
"奶奶的现代社会指南 / A Granny’s Guide to the Modern World","4","2025/06/30","太可爱了，边看边笑","2016/08/03","英国","https://movie.douban.com/subject/30223655/"
"本杰明·巴顿奇事 / The Curious Case of Benjamin Button","3","2025/06/26","","2008/12/25","美国","https://movie.douban.com/subject/1485260/"
"毕业生 / The Graduate","4","2025/06/25","","1967/12/22","美国","https://movie.douban.com/subject/1292271/"
"龙猫 / となりのトトロ","5","2025/06/19","","1988/04/16","日本","https://movie.douban.com/subject/1291560/"
"爱你的症状如爱你 / Liebe dein Symptom wie dich selbst","","2025/05/29","","","","https://movie.douban.com/subject/36117332/"
"烈火情人 / Damage","3","2025/05/27","","","","https://movie.douban.com/subject/1300605/"
"绿洲乐队1996年在内布沃斯 / Oasis Knebworth 1996","","2025/05/27","","2021/09/23","英国","https://movie.douban.com/subject/35560160/"
"歌手2025","1","2025/05/27","。。。太烂，已弃(7 有用)","2025/05/16","中国大陆","https://movie.douban.com/subject/37110424/"
"黑镜 第七季 / Black Mirror Season 7","4","2025/05/27","","2025/04/10","美国","https://movie.douban.com/subject/36653963/"
"一夜狂欢 / A Hard Day's Night","5","2025/05/26","看得我一直情不自禁地笑，一个一切都好像要无限美好下去的时期。中间突然发现演出结束谢幕鞠躬的场景几十年后也被用在了Now And Then的MV结尾，而我终于知道在那句It’s all because of you的旋律之后他们其实只是从舞台上跑开，坐上乱撒海报的直升飞机飞走了。","","","https://movie.douban.com/subject/1298566/"
"圣女贞德蒙难记 / La Passion de Jeanne d'Arc","5","2025/05/25","","1928/04/21","丹麦","https://movie.douban.com/subject/1293783/"
"爱，死亡和机器人 第四季 / Love, Death & Robots Season 4","1","2025/05/20","太烂了","2025/05/15","美国","https://movie.douban.com/subject/36056894/"
"幽灵公主 / もののけ姫","5","2025/05/14","","1997/07/12","日本","https://movie.douban.com/subject/1297359/"
"从海洋到大陆 / From the Sea to the Land Beyond","5","2025/05/12","海洋，时间在这里汹涌地流逝。(1 有用)","","","https://movie.douban.com/subject/22227667/"
"一条安达鲁狗 / Un chien andalou","","2025/04/23","","1929/06/06","法国","https://movie.douban.com/subject/1298962/"
"黑镜 第一季 / Black Mirror Season 1","5","2025/04/23","","2011/12/04","英国","https://movie.douban.com/subject/7054120/"
"IT狂人说明书 / The IT Crowd Manual","5","2025/04/22","我真的好爱","","","https://movie.douban.com/subject/25800237/"
"汉密尔顿 / Hamilton","","2025/04/20","","2020/07/03","美国网络","https://movie.douban.com/subject/34961898/"
"我和我的莫顿自行车 / Me and My Moulton","4","2025/04/19","","2014/12/03","挪威","https://movie.douban.com/subject/25985574/"
"雇佣人生 / El Empleo","","2025/04/19","","2008/09/04","阿根廷","https://movie.douban.com/subject/3823425/"
"蓝雨伞之恋 / The Blue Umbrella","","2025/04/19","好10s啊","2013/02/12","柏林国际电影节","https://movie.douban.com/subject/20505641/"
"9号秘事 第一季 / Inside No. 9 Season 1","4","2025/04/18","","2014/02/05","英国","https://movie.douban.com/subject/20452350/"
"小蝌蚪找妈妈","5","2025/04/14","","","","https://movie.douban.com/subject/3335371/"
"此心安处 / Here","3","2025/04/11","创意形式，老派故事。","2024/10/25","AFI影展","https://movie.douban.com/subject/35782224/"
"我的世界大电影 / A Minecraft Movie","","2025/04/06","其实是挺烂的爆米花电影，但十多年MC老粉还是在熟悉的背景音响起的那一刻原谅了所有。","2025/04/04","美国/中国大陆","https://movie.douban.com/subject/26149750/"
"倩女幽魂","","2025/03/31","看了重映@金逸影院（济南印象）","1987/07/18","中国香港","https://movie.douban.com/subject/1297447/"
"还有明天 / C'è ancora domani","5","2025/03/22","","2023/10/18","罗马电影节","https://movie.douban.com/subject/36445098/"
