电影/电视剧/番组,标题,上映日期,制片国家,条目链接
"一切善良的市民们 / Všichni dobří rodáci","","","https://movie.douban.com/subject/1294375/"
"镜的第三乐章 / Miroirs No. 3","2025/05/17","戛纳电影节","https://movie.douban.com/subject/36877209/"
"在水中 / 물안에서","2023/02/22","柏林国际电影节","https://movie.douban.com/subject/36219938/"
"短岬村 / La Pointe Courte","","","https://movie.douban.com/subject/1297682/"
"喜福会 / The Joy Luck Club","","","https://movie.douban.com/subject/1299923/"
"女性电影人：一部贯穿电影史的新公路影片 / Women Make Film: A Ne...","2018/09/01","威尼斯电影节","https://movie.douban.com/subject/30289149/"
"我，许可","2026/04/03","中国大陆","https://movie.douban.com/subject/37332784/"
"迷宫饭 第二季 / ダンジョン飯 第2期","","","https://movie.douban.com/subject/36936169/"
"走近蓝色海岸 / Du côté de la côte","","","https://movie.douban.com/subject/1475183/"
"摇滚校园 / School of Rock","2003/09/09","多伦多电影节","https://movie.douban.com/subject/1308620/"
"混沌少年时 第二季 / Adolescence Season 2","","","https://movie.douban.com/subject/37311325/"
"怪奇物语 第五季 / Stranger Things Season 5","2025/11/26","美国","https://movie.douban.com/subject/35774681/"
"小城之春","","","https://movie.douban.com/subject/1323746/"
"思考之弈 / The Thinking Game","2024/06/08","翠贝卡电影节","https://movie.douban.com/subject/36877225/"
"美国制造 / Made in U.S.A.","","","https://movie.douban.com/subject/1304741/"
"我略知她一二 / 2 ou 3 choses que je sais d'elle","","","https://movie.douban.com/subject/1300964/"
"巴里·林登 / Barry Lyndon","1975/12/11","英国","https://movie.douban.com/subject/1292472/"
"迷宫饭 / ダンジョン飯","2023/12/08","日本影院","https://movie.douban.com/subject/35801594/"
"对不起，宝贝 / Sorry, Baby","2025/01/27","圣丹斯电影节","https://movie.douban.com/subject/36809707/"
"设计面面观 / Objectified","","","https://movie.douban.com/subject/3103413/"
"街拍纽约 / Everybody Street","","","https://movie.douban.com/subject/24380770/"
"保罗·麦卡特尼：在逃人生 / Man on the Run","2025/08/30","特柳赖德电影节","https://movie.douban.com/subject/36243586/"
"日以作夜 / La nuit américaine","","","https://movie.douban.com/subject/1293299/"
"伯德小姐 / Lady Bird","2017/09/01","特柳赖德电影节","https://movie.douban.com/subject/26588314/"
"九三年夏天 / Estiu 1993","2017/02/11","柏林电影节","https://movie.douban.com/subject/26979007/"
"阿尔卡拉斯 / Alcarràs","2022/02/15","柏林电影节","https://movie.douban.com/subject/35038640/"
"酒会 / The Party","2017/02/13","柏林电影节","https://movie.douban.com/subject/26710371/"
"弥留之国的爱丽丝 第一季 / 今際の国のアリス","2020/12/10","日本","https://movie.douban.com/subject/34477588/"
"羞耻 第四季 / Skam Sesong 4","2017/04/10","挪威","https://movie.douban.com/subject/27012497/"
"奥威尔：2+2=5 / Orwell: 2+2=5","2025/05/17","戛纳电影节","https://movie.douban.com/subject/36305391/"
"弗兰肯斯坦 / Frankenstein","2025/08/30","威尼斯电影节","https://movie.douban.com/subject/3262044/"
"二〇二五年的欧陆 / Kontinental '25","2025/02/19","柏林电影节","https://movie.douban.com/subject/37170426/"
"史努比露营大冒险 / Camp Snoopy","2024/06/14","美国","https://movie.douban.com/subject/36910489/"
"列宁格勒牛仔征美记 / Leningrad Cowboys Go America","1989/03/24","芬兰","https://movie.douban.com/subject/1316560/"
"西蒙娜·德·波伏娃：为什么我是女性主义者 / Simone de Beauvoir:...","","","https://movie.douban.com/subject/30438224/"
"别回头 / Dont Look Back","","","https://movie.douban.com/subject/1305223/"
"绝命毒师 第一季 / Breaking Bad Season 1","2008/01/20","美国","https://movie.douban.com/subject/2373195/"
"穿越无尽的海洋前往月球 / Kyuka: Before Summer's End","2024/05/15","戛纳电影节","https://movie.douban.com/subject/36749546/"
"女孩","2025/09/04","威尼斯电影节","https://movie.douban.com/subject/36986482/"
"寂静的朋友 / Stille Freundin","2025/09/05","威尼斯电影节","https://movie.douban.com/subject/26967871/"
"她在愤怒时最美 / She's Beautiful When She's Angry","2014/10/02","密尔沃基电影节","https://movie.douban.com/subject/26200629/"
"巴黎在燃烧 / Paris Is Burning","","","https://movie.douban.com/subject/1299344/"
"百年包豪斯 / Bauhaus 100","2019/03/05","德国","https://movie.douban.com/subject/34851212/"
